Team	RPREC	NDCG	CLICKS	DATE
KSICUNI.cz	0.109055	0.203634	5.0126	2018-06-2523:19:17
KSICUNI.cz	0.084676	0.166017	8.408	2018-06-2622:14:04
Latte	0.036175	0.108951	11.742	2018-05-1011:37:29
Latte	0.128011	0.277376	4.1548	2018-05-1519:06:16
Latte	0.131743	0.283399	3.722	2018-05-1722:36:52
Latte	0.144364	0.306079	3.0522	2018-05-2207:31:28
Latte	0.147493	0.311185	3.2608	2018-06-0611:18:47
Latte	0.170803	0.311185	3.2608	2018-06-0611:18:47
Latte	0.197307	0.354806	2.0048	2018-06-2121:03:25
Latte	0.125437	0.226504	5.6372	2018-06-2519:55:20
Latte	0.194533	0.350775	2.1274	2018-06-2715:32:12
Latte	0.20291	0.36022	2.0256	2018-06-2921:33:36
Latte	0.203652	0.361175	2.024	2018-06-3017:46:07
LenCA	0.005038	0.003705	41.307598	2018-06-0809:30:42
LenCA	0.005038	0.003705	41.3076	2018-06-0809:30:42
LosPlaylistos	0.089246	0.198724	7.8072	2018-05-0317:13:52
LosPlaylistos	0.130256	0.268972	3.7002	2018-05-1815:00:42
LosPlaylistos	0.011225	0.035868	20.0278	2018-05-2014:38:16
LosPlaylistos	0.129224	0.267934	3.6388	2018-05-2116:07:37
LosPlaylistos	0.142109	0.297442	3.146	2018-05-2219:46:57
LosPlaylistos	0.142601	0.299639	3.1282	2018-05-2321:57:33
LosPlaylistos	0.048003	0.116618	13.5922	2018-05-2423:43:17
LosPlaylistos	0.108556	0.238199	5.8612	2018-06-0321:24:13
LosPlaylistos	0.110787	0.239769	5.7314	2018-06-0421:30:05
LosPlaylistos	0.106629	0.239894	6.1672	2018-06-0521:50:17
LosPlaylistos	0.109807	0.243909	5.8124	2018-06-0721:43:49
LosPlaylistos	0.128724	0.243909	5.8124	2018-06-0721:43:49
LosPlaylistos	0.132069	0.243944	5.5644	2018-06-1121:58:25
